"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
25,9,258,9.540000000000001,6379347068,2779347068,9,0.4241491556167603,9.412995338439941,1.492384791374207
42,10,259,9.576000000000001,6379347070,2779347070,-5,0.4310797154903412,9.529815673828125,-0.8346033692359924
6,11,260,9.272,6379347072,2779347072,11,0.4128779172897339,9.092277526855469,1.7691810131073
50,12,261,9.556000000000001,6379347074,2779347074,-3,0.4345584511756897,9.533004760742188,-0.5001223683357239
7,13,262,7.968,6379347077,2779347077,13,0.3548955619335175,7.755664825439453,1.792410016059875
5,14,263,14.764,6379347079,2779347079,-1,0.6773583292961121,14.74620246887207,-0.2576673328876495
7,15,264,7.01,6379347081,2779347081,15,0.3118813633918762,6.763953685760498,1.814321517944336
4,0,271,4.954,6379347102,2779347102,-15,0.2262478619813919,4.779844760894775,-1.282189607620239
4,1,272,14.742,6379347104,2779347104,1,0.6994768977165222,14.72314834594727,0.2572833895683289
3,2,273,5.722,6379347107,2779347107,-13,0.2655507028102875,5.569017887115479,-1.287169933319092
19,3,273,9.556000000000001,6379347109,2779347109,3,0.4545233845710754,9.532073020935059,0.5001223683357239
4,4,274,6.794,6379347111,2779347111,-11,0.3188118934631348,6.661550521850586,-1.296356320381165
40,5,275,9.460000000000001,6379347114,2779347114,5,0.4521459639072418,9.413148880004883,0.8244933485984802
2,6,276,8.364000000000001,6379347116,2779347116,-9,0.3977886736392975,8.251442909240723,-1.308417916297913
23,7,277,9.484,6379347118,2779347118,7,0.454914927482605,9.402309417724609,1.155808806419373
28,8,278,9.6,6379347121,2779347121,-7,0.4621401429176331,9.517229080200195,-1.16994571685791
25,9,278,9.536,6379347123,2779347123,9,0.4568124413490295,9.407511711120605,1.491759061813354
40,10,279,9.582000000000001,6379347125,2779347125,-5,0.4646332859992981,9.534222602844238,-0.8351263403892517
6,11,280,9.272,6379347127,2779347127,11,0.4446133673191071,9.090781211853027,1.7691810131073
54,12,281,9.545999999999999,6379347130,2779347130,-3,0.4673426449298859,9.521454811096191,-0.4995990395545959
7,13,282,7.958,6379347132,2779347132,13,0.3814863264560699,7.744647026062012,1.790160536766052
5,14,283,14.756,6379347134,2779347134,-1,0.7284331321716309,14.73575878143311,-0.2575277090072632
5,15,284,7.032,6379347137,2779347137,15,0.336542934179306,6.784048080444336,1.820015549659729
4,0,292,4.96,6379347157,2779347157,-15,0.2440605908632278,4.78477144241333,-1.283742427825928
6,1,293,14.742,6379347160,2779347160,1,0.7534352540969849,14.72048568725586,0.2572833895683289
3,2,294,5.718,6379347162,2779347162,-13,0.2857604920864105,5.564115047454834,-1.286270141601563
19,3,294,9.540000000000001,6379347164,2779347164,3,0.4886375963687897,9.514386177062988,0.4992850124835968
4,4,295,6.772,6379347167,2779347167,-11,0.342114120721817,6.63877010345459,-1.292158484458923
40,5,296,9.448,6379347169,2779347169,5,0.4860265552997589,9.399490356445313,0.8234474658966064
2,6,297,8.375999999999999,6379347171,2779347171,-9,0.4286431670188904,8.261765480041504,-1.310295104980469
22,7,298,9.488,6379347173,2779347173,7,0.4895794689655304,9.404542922973633,1.156296372413635
27,8,299,9.592000000000001,6379347176,2779347176,-7,0.49660524725914,9.507541656494141,-1.168970704078674
26,9,299,9.540000000000001,6379347178,2779347178,9,0.4914956986904144,9.409719467163086,1.492384791374207
42,10,300,9.58,6379347180,2779347180,-5,0.4994705617427826,9.530466079711914,-0.8349519968032837
6,11,301,9.268000000000001,6379347183,2779347183,11,0.4777235686779022,9.085169792175293,1.768417716026306
56,12,302,9.538,6379347185,2779347185,-3,0.5018165111541748,9.511700630187988,-0.4991803467273712
7,13,303,7.946,6379347187,2779347187,13,0.4092512726783752,7.731520652770996,1.787461042404175
10,14,304,14.756,6379347190,2779347190,-1,0.7824375033378601,14.73299026489258,-0.2575277090072632
5,15,304,7.056,6379347192,2779347192,15,0.3614510595798492,6.805981636047363,1.826227188110352
4,0,312,4.958,6379347213,2779347213,-15,0.26065593957901,4.781961441040039,-1.283224821090698
6,1,313,14.752,6379347215,2779347215,1,0.8053606748580933,14.72774982452393,0.2574579119682312
3,2,314,5.722,6379347217,2779347217,-13,0.3053946197032928,5.566975116729736,-1.287169933319092
21,3,314,9.548,6379347220,2779347220,3,0.5222836136817932,9.520599365234375,0.4997037053108215
4,4,315,6.774,6379347222,2779347222,-11,0.3653935492038727,6.639495849609375,-1.292540192604065
40,5,316,9.444000000000001,6379347224,2779347224,5,0.5186142921447754,9.393757820129395,0.8230988383293152
2,6,317,8.368,6379347226,2779347226,-9,0.4570425450801849,8.25232982635498,-1.309043645858765
22,7,318,9.492000000000001,6379347229,2779347229,7,0.5226247310638428,9.406741142272949,1.156783819198608
25,8,319,9.59,6379347231,2779347231,-7,0.5296792387962341,9.503768920898438,-1.168727040290833
24,9,319,9.52,6379347233,2779347233,9,0.5232394933700562,9.388223648071289,1.489256143569946
42,10,320,9.572000000000001,6379347236,2779347236,-5,0.5322901606559753,9.520707130432129,-0.8342547416687012
6,11,321,9.284000000000001,6379347238,2779347238,11,0.5103133320808411,9.099127769470215,1.771470665931702
63,12,322,9.542,6379347240,2779347240,-3,0.5352398157119751,9.51387882232666,-0.4993897080421448
7,13,323,7.95,6379347243,2779347243,13,0.4364564120769501,7.733936309814453,1.788360834121704
5,14,324,14.748,6379347245,2779347245,-1,0.8334084153175354,14.72218322753906,-0.2573880851268768
2,15,325,6.992,6379347247,2779347247,15,0.3828890919685364,6.742891311645508,1.809662818908691
6,0,332,4.942,6379347268,2779347268,-15,0.2764514684677124,4.765593528747559,-1.279083728790283
4,1,333,14.742,6379347270,2779347270,1,0.8561844229698181,14.71486759185791,0.2572833895683289
4,2,334,5.722,6379347273,2779347273,-13,0.3248251378536224,5.565875053405762,-1.287169933319092
21,3,335,9.550000000000001,6379347275,2779347275,3,0.557291567325592,9.520615577697754,0.4998083710670471
6,4,335,6.798,6379347277,2779347277,-11,0.3899441659450531,6.661698818206787,-1.297119498252869
37,5,336,9.436,6379347279,2779347279,5,0.550934374332428,9.383934020996094,0.8224015831947327
2,6,337,8.375999999999999,6379347282,2779347282,-9,0.4863102436065674,8.258571624755859,-1.310295104980469
22,7,338,9.496,6379347284,2779347284,7,0.5556912422180176,9.408823013305664,1.157271265983582
27,8,339,9.604000000000001,6379347286,2779347286,-7,0.5636720657348633,9.515732765197754,-1.170433163642883
23,9,339,9.522,6379347289,2779347289,9,0.5561241507530212,9.388311386108398,1.489568948745728
40,10,340,9.57,6379347291,2779347291,-5,0.5654022693634033,9.516802787780762,-0.8340804576873779
6,11,341,9.279999999999999,6379347293,2779347293,11,0.541838526725769,9.093371391296387,1.770707488059998
59,12,342,9.542,6379347296,2779347296,-3,0.5684462189674377,9.51195240020752,-0.4993897080421448
7,13,343,7.96,6379347298,2779347298,13,0.4640331864356995,7.742092132568359,1.790610432624817
5,14,344,14.748,6379347300,2779347300,-1,0.8847933411598206,14.71918487548828,-0.2573880851268768
3,15,344,6.958,6379347303,2779347303,15,0.4032766222953796,6.708802223205566,1.800862908363342
4,0,352,4.954,6379347323,2779347323,-15,0.2937964797019958,4.776168823242188,-1.282189607620239
4,1,353,14.724,6379347326,2779347326,1,0.9064356088638306,14.69382572174072,0.2569692432880402
